activity_id,category,name,price,duration
1001,Culinary,Small left.,122.14491271468867,7.892317581771871
1002,Culinary,Form hundred.,91.07124454863964,4.095000897741601
1003,Relaxation,At affect interest.,65.58971867542601,6.909714869598342
1004,Relaxation,Major section.,148.53827191440922,3.48121060040593
1005,Adventure,Very help.,125.26794561073703,7.282505938313648
1006,Cultural,Event edge father participant.,85.34202759950983,5.687252944050923
1007,Cultural,Tv watch.,162.20408226345603,3.6975212356587237
1008,Adventure,Carry court technology.,184.60523185689476,7.272752974439059
1009,Culinary,Seek attention wish.,116.6447086336583,2.5696269561129426
1010,Cultural,The impact federal.,51.32452658451198,7.643252718135212
1011,Relaxation,When as white.,131.73533289122193,7.940685140559424
1012,Cultural,Bank language.,150.31517042286086,3.920597608108492
1013,Adventure,Form sure.,102.32519415559094,5.9644094697265535
1014,Cultural,Institution people exactly.,102.76925974110003,6.024893491256854
1015,Adventure,Staff dream past.,155.36220333451536,6.7402264327865
1016,Relaxation,Glass conference give.,199.16374602331533,4.947504177853975
1017,Culinary,Management all truth.,87.87120324646773,3.6432002698452033
1018,Relaxation,Role maintain whether.,174.23162962832555,1.7211488782366482
1019,Relaxation,Experience heavy.,167.54217202269788,5.489367063326422
1020,Culinary,Add beautiful small.,125.89140516255584,3.8834804093929023
1021,Adventure,Pressure network.,92.14146349959071,6.353538268429344
1022,Relaxation,Dream floor source doctor.,180.98699314828545,6.319439639984507
1023,Relaxation,Morning sound.,106.72594477608331,7.965169062871948
1024,Relaxation,Speak place.,55.81371595365769,2.80151092313455
1025,Culinary,Nearly.,112.96870850438675,6.0199644895953455
1026,Adventure,Local dark.,86.40960862161103,4.743153897422257
1027,Relaxation,Trouble time.,154.43815785853388,1.3296890312922833
1028,Cultural,Great present.,100.77420272534043,3.557552666240133
1029,Cultural,Both around.,177.20905462837368,5.868211807020508
1030,Culinary,Instead.,112.1756184865558,5.004368905166428
1031,Adventure,This firm.,134.79842606317715,4.649465721927127
1032,Adventure,Late conference.,146.7575504119745,3.4663096632268147
1033,Cultural,Window change.,80.44477380533483,7.19866872090909
1034,Culinary,Accept sister letter.,112.68320862979,5.6953443986975065
1035,Relaxation,Husband such father.,53.364466030834315,1.7778138594965907
1036,Cultural,Experience wide move.,165.13993801335783,4.655974447321865
